product_id,name,description,category,price,cost_price,profit,profit_margin,brand,sku,created_at,updated_at
PROD0026,,James Clear's guide to building good habits and breaking bad ones,Uncategorized,399.0,180.0,219.0,54.89,Penguin,,2024-01-05T08:00:00,2026-08-30T10:00:00
PROD0027,,"Morgan Housel's timeless lessons on wealth, greed, and happiness",Uncategorized,349.0,160.0,189.0,54.15,Jaico Publishing,,2024-01-20T08:00:00,2026-08-25T14:00:00
PROD0028,,Ramachandra Guha's definitive history of post-independence India,Uncategorized,599.0,300.0,299.0,49.92,Picador India,,2024-02-28T08:00:00,2026-07-22T11:00:00
PROD0029,,Comprehensive textbook on data structures and algorithms using C language,Uncategorized,499.0,250.0,249.0,49.9,McGraw Hill,,2024-03-12T08:00:00,2026-08-18T09:00:00
PROD0030,,Water-resistant laptop backpack with USB charging port and anti-theft pocket,Uncategorized,1499.0,700.0,799.0,53.3,American Tourister,,2024-01-12T08:00:00,2026-08-20T10:00:00
PROD0031,,"1L insulated stainless steel bottle, keeps drinks hot/cold for 24 hours",Uncategorized,599.0,280.0,319.0,53.26,Milton,,2024-02-05T08:00:00,2026-08-12T15:00:00
PROD0032,,UV400 protection metal aviator sunglasses with gradient lenses,Uncategorized,899.0,400.0,499.0,55.51,Fastrack,,2024-03-08T08:00:00,2026-07-28T12:00:00
PROD0033,,Genuine leather bi-fold wallet with RFID blocking and multiple card slots,Uncategorized,699.0,320.0,379.0,54.22,WildHorn,,2024-04-02T08:00:00,2026-08-15T11:00:00
PROD0034,,"AMOLED display smartwatch with SpO2, heart rate monitor, and 7-day battery",Uncategorized,3499.0,2000.0,1499.0,42.84,Noise,,2024-05-01T08:00:00,2026-08-28T14:00:00
PROD0035,,Spacious faux leather tote bag with inner zip pocket and magnetic closure,Uncategorized,1299.0,600.0,699.0,53.81,Lavie,,2024-05-15T08:00:00,2026-08-22T16:00:00
